127.0.0.1 - - [29/Jul/2025:17:22:52 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:22:52 +0530] "GET /pahanaedu-online/login.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:22:52 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:23:04 +0530] "POST /pahanaedu-online/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:23:04 +0530] "GET /pahanaedu-online/index.jsp HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:23:06 +0530] "GET /pahanaedu-online/store HTTP/1.1" 200 31023
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:23:06 +0530] "GET /pahanaedu-online/images/1753712570434_default-account.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:23:06 +0530] "GET /pahanaedu-online/images/1753707070094_20250726_1649_Pegasus%20Under%20Starry%20Sky_simple_compose_01k1376ywjfxar0maj83hmf87q.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:23:06 +0530] "GET /pahanaedu-online/images/1753707081859_Shadow_Arc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:23:08 +0530] "GET /pahanaedu-online/addToCart?productId=1 HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:23:11 +0530] "GET /pahanaedu-online/addToCart?productId=2 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:23:13 +0530] "GET /pahanaedu-online/addToCart?productId=3 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:27:49 +0530] "GET /pahanaedu-online/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:27:49 +0530] "GET /pahanaedu-online/home.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:28:50 +0530] "GET /pahanaedu-online/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:28:50 +0530] "GET /pahanaedu-online/index.jsp HTTP/1.1" 200 20437
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:29:04 +0530] "GET /pahanaedu-online/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:29:04 +0530] "GET /pahanaedu-online/login.jsp HTTP/1.1" 200 6107
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:29:13 +0530] "GET /pahanaedu-online/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:29:13 +0530] "GET /pahanaedu-online/login.jsp HTTP/1.1" 200 6107
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:29:22 +0530] "GET /pahanaedu-online/login.jsp HTTP/1.1" 200 6107
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:29:22 +0530] "GET /pahanaedu-online/login.jsp HTTP/1.1" 200 6107
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:29:23 +0530] "GET /pahanaedu-online/login.jsp HTTP/1.1" 200 6107
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:29:23 +0530] "GET /pahanaedu-online/login.jsp HTTP/1.1" 200 6107
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:29:23 +0530] "GET /pahanaedu-online/login.jsp HTTP/1.1" 200 6107
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:29:23 +0530] "GET /pahanaedu-online/login.jsp HTTP/1.1" 200 6107
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:29:34 +0530] "GET /pahanaedu-online/login.jsp HTTP/1.1" 200 6107
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:31:13 +0530] "GET /pahanaedu-online/login.jsp HTTP/1.1" 200 19172
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:31:27 +0530] "POST /pahanaedu-online/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:31:28 +0530] "GET /pahanaedu-online/admin_dashboard.jsp HTTP/1.1" 200 17520
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:31:35 +0530] "GET /pahanaedu-online/manage_staff.jsp HTTP/1.1" 200 24109
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:31:38 +0530] "GET /pahanaedu-online/admin_dashboard.jsp HTTP/1.1" 200 17520
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:31:46 +0530] "GET /pahanaedu-online/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:31:46 +0530] "GET /pahanaedu-online/login.jsp HTTP/1.1" 200 19172
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:33:36 +0530] "GET /pahanaedu-online/login.jsp HTTP/1.1" 200 19172
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:33:41 +0530] "POST /pahanaedu-online/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2025:17:33:41 +0530] "GET /pahanaedu-online/index.jsp HTTP/1.1" 200 20437
