127.0.0.1 - - [01/Aug/2025:13:55:12 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [01/Aug/2025:13:55:13 +0530] "GET /pahanaedu-online/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2025:13:55:13 +0530] "GET /pahanaedu-online/login.jsp HTTP/1.1" 200 19172
0:0:0:0:0:0:0:1 - - [01/Aug/2025:13:55:13 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/Aug/2025:13:55:21 +0530] "POST /pahanaedu-online/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2025:13:55:21 +0530] "GET /pahanaedu-online/index.jsp HTTP/1.1" 200 26656
0:0:0:0:0:0:0:1 - - [01/Aug/2025:13:57:56 +0530] "GET /pahanaedu-online/index.jsp HTTP/1.1" 200 46599
0:0:0:0:0:0:0:1 - - [01/Aug/2025:13:58:01 +0530] "POST /pahanaedu-online/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2025:13:58:01 +0530] "GET /pahanaedu-online/index.jsp HTTP/1.1" 200 46599
0:0:0:0:0:0:0:1 - - [01/Aug/2025:14:01:08 +0530] "GET /pahanaedu-online/store HTTP/1.1" 200 31014
0:0:0:0:0:0:0:1 - - [01/Aug/2025:14:01:08 +0530] "GET /pahanaedu-online/images/1753707081859_Shadow_Arc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2025:14:01:08 +0530] "GET /pahanaedu-online/images/1753707070094_20250726_1649_Pegasus%20Under%20Starry%20Sky_simple_compose_01k1376ywjfxar0maj83hmf87q.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2025:14:01:08 +0530] "GET /pahanaedu-online/images/1753712570434_default-account.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2025:14:02:11 +0530] "GET /pahanaedu-online/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2025:14:02:11 +0530] "GET /pahanaedu-online/login.jsp HTTP/1.1" 200 19172
